iter	Passed	Remaining
382	3768	6071
383	3775	6056
384	3783	6043
385	3792	6032
386	3799	6018
387	3808	6006
388	3814	5991
389	3823	5980
390	3833	5970
391	3841	5958
392	3850	5947
393	3859	5935
394	3867	5923
395	3874	5909
396	3882	5896
397	3892	5887
398	3900	5874
399	3909	5863
400	3917	5851
401	3926	5840
402	3935	5829
403	3942	5815
404	3953	5808
405	3969	5808
406	3978	5796
407	3988	5787
408	3997	5776
409	4008	5768
410	4018	5758
411	4029	5750
412	4037	5738
413	4045	5725
414	4052	5711
415	4061	5701
416	4069	5689
417	4076	5675
418	4084	5663
419	4091	5650
420	4099	5637
421	4108	5627
422	4115	5614
423	4123	5602
424	4133	5592
425	4142	5581
426	4150	5569
427	4157	5556
428	4166	5544
429	4173	5531
430	4181	5520
431	4188	5507
432	4195	5494
433	4203	5482
434	4211	5469
435	4218	5456
436	4227	5446
437	4234	5433
438	4243	5422
439	4250	5410
440	4258	5398
441	4267	5387
442	4276	5377
443	4286	5368
444	4295	5357
445	4305	5348
446	4312	5335
447	4321	5324
448	4329	5312
449	4337	5301
450	4347	5292
451	4356	5281
452	4365	5271
453	4372	5258
454	4380	5247
455	4388	5235
456	4396	5223
457	4404	5212
458	4412	5200
459	4419	5188
460	4428	5177
461	4435	5165
462	4444	5155
463	4453	5144
464	4461	5133
465	4470	5122
466	4478	5111
467	4487	5100
468	4494	5088
469	4505	5080
470	4513	5069
471	4523	5060
472	4531	5049
473	4540	5038
474	4546	5025
475	4553	5012
476	4562	5002
477	4570	4991
478	4578	4979
479	4587	4969
480	4594	4957
481	4605	4949
482	4613	4938
483	4622	4928
484	4631	4918
485	4639	4907
486	4647	4895
487	4654	4883
488	4662	4872
489	4669	4860
490	4678	4849
491	4686	4838
492	4693	4826
493	4702	4816
494	4710	4805
495	4719	4796
496	4727	4785
497	4735	4773
498	4744	4763
499	4751	4751
500	4760	4741
501	4767	4729
502	4774	4717
503	4783	4707
504	4791	4696
505	4800	4686
506	4807	4675
507	4814	4663
508	4824	4653
509	4831	4642
510	4842	4634
511	4850	4623
512	4859	4612
513	4867	4602
514	4874	4590
515	4882	4580
516	4890	4569
517	4899	4558
518	4906	4547
519	4913	4535
520	4921	4524
521	4930	4514
522	4937	4503
523	4946	4493
524	4953	4481
525	4960	4470
526	4968	4459
527	4979	4451
528	4987	4440
529	4994	4429
530	5003	4418
531	5011	4408
532	5024	4401
533	5033	4392
534	5041	4382
535	5050	4371
536	5059	4362
537	5068	4352
538	5078	4343
539	5086	4332
540	5095	4323
541	5102	4311
542	5110	4300
543	5118	4290
544	5126	4280
545	5134	4269
546	5142	4258
547	5149	4247
548	5158	4238
549	5166	4227
550	5176	4218
551	5183	4207
552	5190	4195
553	5197	4184
554	5205	4173
555	5214	4164
556	5222	4153
557	5229	4142
558	5237	4132
559	5245	4121
560	5255	4112
561	5262	4101
562	5271	4091
563	5279	4081
564	5287	4070
565	5295	4060
566	5308	4053
567	5316	4043
568	5325	4033
569	5334	4024
570	5342	4013
571	5350	4003
572	5358	3993
573	5365	3982
574	5376	3973
575	5384	3963
576	5393	3954
577	5405	3946
578	5417	3939
579	5425	3928
580	5433	3918
581	5442	3909
582	5451	3899
583	5458	3887
584	5466	3877
585	5476	3869
586	5485	3859
587	5494	3849
588	5501	3839
589	5512	3830
590	5519	3819
591	5528	3809
592	5536	3799
593	5544	3789
594	5552	3779
595	5561	3769
596	5570	3760
597	5577	3749
598	5585	3739
599	5594	3729
600	5602	3719
601	5613	3710
602	5619	3700
603	5628	3689
604	5636	3680
605	5643	3669
606	5653	3660
607	5661	3649
608	5670	3640
609	5678	3630
610	5684	3619
611	5692	3608
612	5700	3598
613	5709	3589
614	5716	3578
615	5725	3569
616	5733	3558
617	5741	3548
618	5750	3539
619	5757	3528
620	5765	3518
621	5773	3508
622	5780	3498
623	5789	3488
624	5797	3478
625	5806	3468
626	5813	3458
627	5822	3448
628	5831	3439
629	5843	3431
630	5853	3423
631	5860	3412
632	5870	3403
633	5878	3393
634	5887	3384
635	5895	3373
636	5901	3363
637	5910	3353
638	5918	3343
639	5928	3334
640	5937	3325
641	5949	3317
642	5956	3307
643	5969	3299
644	5978	3290
645	5988	3281
646	5998	3272
647	6018	3269
648	6037	3265
649	6051	3258
650	6063	3250
651	6074	3242
652	6085	3233
653	6093	3223
654	6102	3214
655	6112	3205
656	6120	3195
657	6130	3186
658	6137	3175
659	6147	3166
660	6154	3156
661	6165	3147
662	6172	3137
663	6179	3126
664	6187	3117
665	6196	3107
666	6204	3097
667	6211	3087
668	6219	3076
669	6226	3066
670	6233	3056
671	6241	3046
672	6248	3036
673	6256	3026
674	6264	3016
675	6273	3006
676	6282	2997
677	6289	2987
678	6296	2976
679	6304	2966
680	6312	2956
681	6321	2947
682	6328	2937
683	6336	2927
684	6344	2917
685	6352	2907
686	6361	2898
687	6369	2888
688	6377	2878
689	6385	2868
690	6394	2859
691	6405	2851
692	6412	2840
693	6420	2831
694	6428	2821
695	6438	2812
696	6447	2802
697	6455	2793
698	6464	2783
699	6474	2774
700	6484	2765
701	6491	2755
702	6500	2746
703	6508	2736
704	6516	2726
705	6526	2717
706	6535	2708
707	6545	2699
708	6555	2690
709	6565	2681
710	6572	2671
711	6582	2662
712	6591	2653
713	6602	2644
714	6610	2635
715	6620	2625
716	6628	2616
717	6638	2607
718	6647	2598
719	6659	2589
720	6667	2580
721	6676	2570
722	6685	2561
723	6692	2551
724	6702	2542
725	6710	2532
726	6720	2523
727	6729	2514
728	6736	2504
729	6744	2494
730	6752	2484
731	6763	2476
732	6770	2466
733	6778	2456
734	6787	2447
735	6796	2437
736	6804	2428
737	6812	2418
738	6820	2408
739	6830	2399
740	6842	2391
741	6849	2381
742	6861	2373
743	6869	2363
744	6878	2354
745	6886	2344
746	6893	2334
747	6903	2325
748	6910	2315
749	6920	2306
750	6929	2297
751	6939	2288
752	6947	2278
753	6956	2269
754	6965	2260
755	6974	2250
756	6981	2241
757	6989	2231
758	6998	2222
759	7005	2212
760	7015	2203
761	7025	2194
762	7036	2185
763	7044	2176
764	7052	2166
765	7060	2156
766	7068	2147
767	7078	2138
768	7085	2128
769	7096	2119
770	7104	2110
771	7112	2100
772	7121	2091
773	7128	2081
774	7137	2072
775	7145	2062
776	7157	2054
777	7165	2044
778	7172	2034
779	7181	2025
780	7188	2015
781	7198	2006
782	7206	1997
783	7215	1987
784	7224	1978
785	7233	1969
786	7241	1959
787	7250	1950
788	7258	1941
789	7267	1931
790	7278	1923
791	7287	1913
792	7296	1904
793	7305	1895
794	7316	1886
795	7323	1876
796	7333	1867
797	7340	1858
798	7350	1849
799	7357	1839
800	7365	1829
801	7374	1820
802	7382	1811
803	7391	1801
804	7399	1792
805	7407	1783
806	7417	1773
807	7426	1764
808	7438	1756
809	7447	1746
810	7456	1737
811	7465	1728
812	7478	1720
813	7485	1710
814	7496	1701
815	7504	1692
816	7515	1683
817	7524	1674
818	7536	1665
819	7551	1657
820	7561	1648
821	7573	1640
822	7583	1630
823	7595	1622
824	7605	1613
825	7617	1604
826	7627	1595
827	7636	1586
828	7646	1577
829	7657	1568
830	7667	1559
831	7676	1550
832	7684	1540
833	7694	1531
834	7704	1522
835	7714	1513
836	7724	1504
837	7734	1495
838	7746	1486
839	7754	1477
840	7762	1467
841	7772	1458
842	7780	1449
843	7790	1439
844	7800	1430
845	7809	1421
846	7819	1412
847	7830	1403
848	7839	1394
849	7852	1385
850	7863	1376
851	7871	1367
852	7880	1358
853	7891	1349
854	7899	1339
855	7908	1330
856	7916	1320
857	7927	1311
858	7935	1302
859	7944	1293
860	7952	1283
861	7959	1274
862	7967	1264
863	7975	1255
864	7983	1246
865	7991	1236
866	7998	1227
867	8008	1217
868	8016	1208
869	8025	1199
870	8034	1189
871	8042	1180
872	8050	1171
873	8058	1161
874	8066	1152
875	8074	1142
876	8082	1133
877	8091	1124
878	8098	1114
879	8107	1105
880	8114	1096
881	8121	1086
882	8129	1077
883	8136	1067
884	8146	1058
885	8154	1049
886	8161	1039
887	8169	1030
888	8176	1020
889	8186	1011
890	8193	1002
891	8201	993
892	8208	983
893	8216	974
894	8224	964
895	8233	955
896	8241	946
897	8249	937
898	8256	927
899	8265	918
900	8273	909
901	8280	899
902	8290	890
903	8297	881
904	8306	871
905	8317	862
906	8326	853
907	8333	844
908	8343	835
909	8350	825
910	8358	816
911	8369	807
912	8376	798
913	8386	789
914	8392	779
915	8402	770
916	8409	761
917	8417	751
918	8425	742
919	8432	733
920	8441	724
921	8449	714
922	8458	705
923	8466	696
924	8474	687
925	8484	678
926	8492	668
927	8500	659
928	8509	650
929	8517	641
930	8526	631
931	8534	622
932	8542	613
933	8550	604
934	8559	595
935	8567	585
936	8575	576
937	8585	567
938	8592	558
939	8600	548
940	8608	539
941	8618	530
942	8627	521
943	8638	512
944	8647	503
945	8657	494
946	8666	485
947	8673	475
948	8682	466
949	8689	457
950	8697	448
951	8705	438
952	8714	429
953	8722	420
954	8728	411
955	8738	402
956	8745	392
957	8752	383
958	8762	374
959	8770	365
960	8778	356
961	8787	347
962	8795	337
963	8803	328
964	8810	319
965	8821	310
966	8831	301
967	8840	292
968	8847	283
969	8855	273
970	8863	264
971	8870	255
972	8881	246
973	8888	237
974	8897	228
975	8904	218
976	8914	209
977	8922	200
978	8929	191
979	8938	182
980	8945	173
981	8952	164
982	8959	154
983	8967	145
984	8976	136
985	8983	127
986	8992	118
987	9000	109
988	9007	100
989	9018	91
990	9026	81
991	9035	72
992	9043	63
993	9052	54
994	9061	45
995	9068	36
996	9078	27
997	9086	18
998	9094	9
999	9101	0
